,date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune
2000-03-20,2000-03-20,3.553684594868711e+22,2.0844726757399917e+20,9988963494294724.0,3.58955539805278e+16,2225134376561141.2,1.027140934907408e+18,1.0422546676266165e+17,3613548161810604.5,1927035803393188.0
2000-03-21,2000-03-21,3.5516864956064562e+22,2.0345828977772895e+20,9631856096722746.0,3.5711288521511452e+16,2215526139077411.8,1.0236720456286108e+18,1.0398137042768418e+17,3617360925944075.5,1928769121906248.2
2000-03-22,2000-03-22,3.5496727433646858e+22,1.9809668608442935e+20,9289550868388592.0,3.553005612853236e+16,2206013600456992.0,1.0202809549380728e+18,1.037420131449347e+17,3621253082728924.5,1930525678245975.5
2000-03-23,2000-03-23,3.547644816288769e+22,1.9277132682798907e+20,8962229426246188.0,3.5351824480926412e+16,2196596224555608.5,1.0169670867228273e+18,1.0350739820977698e+17,3625224024108788.5,1932305100556652.5
2000-03-24,2000-03-24,3.545604515030963e+22,1.8785736545535862e+20,8649821830361581.0,3.5176563225693116e+16,2187273606181664.5,1.01372990043413e+18,1.0327752991061851e+17,3629273128836813.0,1934107009173944.8
2000-03-25,2000-03-25,3.5435538557953024e+22,1.836625115522767e+20,8352070633457331.0,3.500424330075777e+16,2178045444168156.0,1.0105688867326772e+18,1.0305241334527173e+17,3633399755696955.5,1935931014517408.2
2000-03-26,2000-03-26,3.5414949835626716e+22,1.8041514793306237e+20,8068582698371262.0,3.483483646867356e+16,2168911515807753.5,1.0074835628881403e+18,1.0283205419901558e+17,3637603238757081.5,1937776715781263.2
2000-03-27,2000-03-27,3.539430111508178e+22,1.782669619835383e+20,7798870535602118.0,3.466831504827856e+16,2159871656212116.2,1.0044734687805832e+18,1.026164585403904e+17,3641882884380698.0,1939643700246457.5
2000-03-28,2000-03-28,3.537361484724369e+22,1.773015978513434e+20,7542384836702482.0,3.4504651793968372e+16,2150925743826401.2,1.0015381638967493e+18,1.0240563266520456e+17,3646237969404932.5,1941531542956571.2
2000-03-29,2000-03-29,3.535291361479813e+22,1.7754323488396942e+20,7298539731017027.0,3.4343819857841556e+16,2142073691522209.2,9.986772253252502e+17,1.0219958299538886e+17,3650667739813402.0,1943439806505187.5
2000-03-30,2000-03-30,3.533222003071899e+22,1.7896182362017936e+20,7066732112263215.0,3.418579277119622e+16,2133315441589503.0,9.958902464916831e+17,1.0199831602191562e+17,3655171409304616.0,1945368040733768.0
2000-03-31,2000-03-31,3.5311556626711948e+22,1.8147371449594888e+20,6846356191657348.0,3.4030544389243456e+16,2124650962350168.2,9.931768362146934e+17,1.0180183826945982e+17,3659748157294412.0,1947315782206784.8
2000-04-01,2000-04-01,3.5290945634220395e+22,1.8493809904499697e+20,6636814251249253.0,3.387804875133725e+16,2116080243736165.8,9.905366175566994e+17,1.0161015625211432e+17,3664397126063611.0,1949282553406755.8
2000-04-02,2000-04-02,3.527040856437149e+22,1.8915198827116023e+20,6437524405185192.0,3.372827982020267e+16,2107603288897116.8,9.879692258660044e+17,1.0142327638277646e+17,3669117417001062.0,1951267861689125.2
2000-04-03,2000-04-03,3.5249965515024772e+22,1.938493536137393e+20,6247926033974723.0,3.35812110853754e+16,2099220098990936.2,9.85474305412173e+17,1.0124120479674613e+17,3673908086252220.5,1953271198170088.2
2000-04-04,2000-04-04,3.522963418992253e+22,1.9871187240317544e+20,6067483438795791.0,3.343681505518899e+16,2090930649278862.5,9.830515042087258e+17,1.0106394705924123e+17,3678768140561634.5,1955292036877585.5
2000-04-05,2000-04-05,3.520942871220958e+22,2.0339679047409277e+20,5895688165432748.0,3.329506271506524e+16,2082734856902908.0,9.807004670833944e+17,1.0089150775326234e+17,3683696534554471.0,1957329834616916.0
2000-04-06,2000-04-06,3.5189358428125485e+22,2.0758037512930407e+20,5732060362685176.0,3.3155923078599264e+16,2074632543973116.2,9.784208277397868e+17,1.0072388998655765e+17,3688692170877003.0,1959384031997055.8
2000-04-07,2000-04-07,3.5169426975457437e+22,2.11005769882845e+20,5576149460532225.0,3.301936297387517e+16,2066623402654867.8,9.762122012118482e+17,1.0056109490037253e+17,3693753904268063.0,1961454055867941.5
2000-04-08,2000-04-08,3.5149631882830648e+22,2.1351806861711825e+20,5427534376710023.0,3.288534717067903e+16,2058706970200023.2,9.740741784003165e+17,1.00403121286494e+17,3698880549746182.5,1963539323061469.0
2000-04-09,2000-04-09,3.5129964853879827e+22,2.1507274819082115e+20,5285823391367717.0,3.2753838870406716e+16,2050882620276592.8,9.720063240711859e+17,1.002499654064602e+17,3704070893969988.5,1965639244943890.8
2000-04-10,2000-04-10,3.511041271541898e+22,2.157151815387546e+20,5150653776722396.0,3.262480048345811e+16,2043149572937823.8,9.700081788645064e+17,1.0010162105932477e+17,3709323707957493.5,1967753232049991.2
2000-04-11,2000-04-11,3.509095884899779e+22,2.1554154310966097e+20,5021691238023903.0,3.249819455229749e+16,2035506920915478.5,9.680792648751777e+17,9.995807988292798e+16,3714637759118892.0,1969880698085284.0
2000-04-12,2000-04-12,3.507158484880045e+22,2.146574267327265e+20,4898629212040881.0,3.2373984668453772e+16,2027953666706661.0,9.662190936654577e+17,9.981933182598163e+16,3720011820999768.5,1972021062818646.5
2000-04-13,2000-04-13,3.5052272171039077e+22,2.131483464249229e+20,4781188070825772.0,3.2252136271525784e+16,2020488764209672.0,9.64427175384437e+17,9.968536571126133e+16,3725444679919723.0,1974173753699520.5
2000-04-14,2000-04-14,3.503300362041159e+22,2.110695240022434e+20,4669114281069266.0,3.2132617275771908e+16,2013111159968663.2,9.627030279122298e+17,9.955616982082803e+16,3730935138389722.5,1976338206269569.5
2000-04-15,2000-04-15,3.5013764597317483e+22,2.0845505363773515e+20,4562179566481701.0,3.201539851253986e+16,2005819830978993.0,9.61046185323324e+17,9.943173245553618e+16,3736482015553724.5,1978513863537004.5
2000-04-16,2000-04-16,3.499454406865054e+22,2.0534057087324442e+20,4460180112436525.0,3.1900453992432956e+16,1998613817253622.8,9.594562052203992e+17,9.93120424368016e+16,3742084144983032.5,1980700174488542.8
2000-04-17,2000-04-17,3.497533523092097e+22,2.017896050438627e+20,4362935842746103.0,3.17877609902595e+16,1991492247723722.2,9.579326745782067e+17,9.91970895243617e+16,3747740370173682.5,1982896591913870.5
2000-04-18,2000-04-18,3.4956135837603312e+22,1.9791293307731794e+20,4270289791753697.5,3.167729995701684e+16,1984454358133597.5,9.564752137773295e+17,9.908686472617285e+16,3753449538218713.5,1985102569756873.2
2000-04-19,2000-04-19,3.4936948185322236e+22,1.938735359449798e+20,4182107591559499.5,3.156905427560854e+16,1977499500049764.0,9.550834786315512e+17,9.898136048395826e+16,3759210492328797.5,1987317560266317.5
2000-04-20,2000-04-20,3.491777879507959e+22,1.8987625357309864e+20,4098277092303588.0,3.1463009896730092e+16,1970627141107808.0,9.537571604482546e+17,9.888057073257288e+16,3765022064025141.0,1989541011246238.8
2000-04-21,2000-04-21,3.489863786704153e+22,1.8614751442942067e+20,4018708130705930.0,3.135915490762563e+16,1963836857820544.0,9.524959844303598e+17,9.87844908488328e+16,3770883065819999.5,1991772363672275.5
2000-04-22,2000-04-22,3.487953861455892e+22,1.8291306381528354e+20,3943332457585647.0,3.125747909237415e+16,1957128323236826.2,9.512997069376634e+17,9.869311751985034e+16,3776792285021378.5,1994011049850852.0
2000-04-23,2000-04-23,3.4860496588467083e+22,1.8037974561370282e+20,3872103829000109.0,3.115797353686282e+16,1950501292216908.8,9.501681122209951e+17,9.860644856848558e+16,3782748479006259.0,1996256492180345.8
2000-04-24,2000-04-24,3.4841529087031847e+22,1.7872342451069534e+20,3804998258365371.0,3.1060630316694916e+16,1943955587026779.2,9.491010092141462e+17,9.852448277325941e+16,3788750371967683.0,1998508102452906.0
2000-04-25,2000-04-25,3.482265471284236e+22,1.7808190664318137e+20,3742014418630333.5,3.096544228457589e+16,1937491085363685.0,9.48098228821771e+17,9.84472197120801e+16,3794796652824121.5,2000765281536836.8
2000-04-26,2000-04-26,3.4803893091058124e+22,1.785503576980145e+20,3683174174397225.0,3.0872402949010396e+16,1931107711890850.5,9.47159621901645e+17,9.837465964475278e+16,3800885973762222.0,2003027419227496.5
2000-04-27,2000-04-27,3.478526471684193e+22,1.8017660007577207e+20,3628523214147781.0,3.0781506415290828e+16,1924805433169970.5,9.462850578749989e+17,9.8306803432622e+16,3807016948827553.0,2005293894063730.0
2000-04-28,2000-04-28,3.4766790866758583e+22,1.8295384891613485e+20,3578131742385178.0,3.0692747348082812e+16,1918584254897129.8,9.454744236877399e+17,9.824365247987414e+16,3813188152075450.0,2007564072965508.8
2000-04-29,2000-04-29,3.4748493491205835e+22,1.868088936467817e+20,3532095179606520.5,3.060612091109251e+16,1912444219724652.2,9.447276227158642e+17,9.818520867210347e+16,3819398114965084.0,2009837310624931.2
2000-04-30,2000-04-30,3.4730394990443535e+22,1.9158545267718403e+20,3490534803311306.5,3.0521622636223984e+16,1906385403455892.0,9.440445731104081e+17,9.81314742808929e+16,3825645322871824.5,2012112948662568.5
2000-05-01,2000-05-01,3.471251775740356e+22,1.9702649800542496e+20,3453598245731324.0,3.0439248169697e+16,1900407906754867.8,9.434252049674212e+17,9.808245179555091e+16,3831928210873751.0,2014390314672377.8
2000-05-02,2000-05-02,3.4694883365368875e+22,2.0276535972051766e+20,3421459746184346.5,3.0358992847483204e+16,1894511839007013.5,9.428694556739127e+17,9.803814363991797e+16,3838245159478294.5,2016668721459893.5
2000-05-03,2000-05-03,3.4677511332582224e+22,2.0834015136677105e+20,3394320042394467.5,3.02808510882388e+16,1888697291643375.0,9.423772630492632e+17,9.799855174756053e+16,3844594491679241.0,2018947466999304.0
2000-05-04,2000-05-04,3.4660417539180654e+22,2.1324380674457443e+20,3372405779845517.5,3.0204815667399704e+16,1882964301105727.0,9.41948556642586e+17,9.796367701415174e+16,3850974473319647.5,2021225835752960.2
2000-05-05,2000-05-05,3.4643612571902423e+22,2.1700844322823907e+20,3355968322929248.5,3.0130877027276444e+16,1877312806398054.0,9.415832486087201e+17,9.793351871310917e+16,3857383318610994.0,2023503101830274.2
